OKPD,TNVED,name_OKPD,name_TNVED
19.2,2710,Производство нефтепродуктов,"НЕФТЬ И НЕФТЕПРОДУКТЫ, ПОЛУЧЕННЫЕ ИЗ БИТУМИНОЗНЫХ ПОРОД, КРОМЕ СЫРЫХ; ПРОДУКТЫ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ, СОДЕРЖАЩИЕ 70 МАС.% ИЛИ БОЛЕЕ НЕФТИ ИЛИ НЕФТЕПРОДУКТОВ, ПОЛУЧЕННЫХ ИЗ БИТУМИНОЗНЫХ ПОРОД, ПРИЧЕМ ЭТИ НЕФТЕПРОДУКТЫ ЯВЛЯЮТСЯ ОСНОВНЫМИ СОСТАВЛЯЮЩИМИ ПРОДУКТОВ; ОТРАБОТАННЫЕ НЕФТЕПРОДУКТЫ"
10.2,1604,"Переработка и консервирование рыбы, ракообразных и моллюсков","ГОТОВАЯ ИЛИ КОНСЕРВИРОВАННАЯ РЫБА; ИКРА ОСЕТРОВЫХ И ЕЕ ЗАМЕНИТЕЛИ, ИЗГОТОВЛЕННЫЕ ИЗ ИКРИНОК РЫБЫ"
10.2,0305,"Переработка и консервирование рыбы, ракообразных и моллюсков","РЫБА СУШЕНАЯ, СОЛЕНАЯ ИЛИ В РАССОЛЕ; РЫБА КОПЧЕНАЯ, НЕ ПОДВЕРГНУТАЯ ИЛИ ПОДВЕРГНУТАЯ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; РЫБНАЯ МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ РЫБЫ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
10.1,0210,Переработка и консервирование мяса и мясной пищевой продукции,"МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ, СОЛЕНЫЕ, В РАССОЛЕ, СУШЕНЫЕ ИЛИ КОПЧЕНЫЕ; ПИЩЕВАЯ МУКА ТОНКОГО И ГРУБОГО ПОМОЛА ИЗ МЯСА ИЛИ МЯСНЫХ СУБПРОДУКТОВ"
10.2,0306,"Переработка и консервирование рыбы, ракообразных и моллюсков","РАКООБРАЗНЫЕ, В ПАНЦИРЕ ИЛИ БЕЗ ПАНЦИРЯ, ЖИВЫЕ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; РАКООБРАЗНЫЕ КОПЧЕНЫЕ, В ПАНЦИРЕ ИЛИ БЕЗ ПАНЦИРЯ, НЕ ПОДВЕРГНУТЫЕ ИЛИ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; РАКООБРАЗНЫЕ В ПАНЦИРЕ, СВАРЕННЫЕ НА ПАРУ ИЛИ В КИПЯЩЕЙ ВОДЕ, ОХЛАЖДЕННЫЕ ИЛИ НЕОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ РАКООБРАЗНЫХ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
14.1,6204,"Производство одежды, кроме одежды из меха","КОСТЮМЫ, КОМПЛЕКТЫ, ЖАКЕТЫ, БЛАЙЗЕРЫ, ПЛАТЬЯ, ЮБКИ, ЮБКИ-БРЮКИ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) ЖЕНСКИЕ ИЛИ ДЛЯ ДЕВОЧЕК"
10.1,1602,Переработка и консервирование мяса и мясной пищевой продукции,"ГОТОВЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ ПРОДУКТЫ ИЗ МЯСА, МЯСНЫХ СУБПРОДУКТОВ ИЛИ КРОВИ ПРОЧИЕ"
20.1,2903,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",ГАЛОГЕНИРОВАННЫЕ ПРОИЗВОДНЫЕ УГЛЕВОДОРОДОВ
10.5,0403,Производство молочной продукции,"ПАХТА, СВЕРНУВШИЕСЯ МОЛОКО И СЛИВКИ, ЙОГУРТ, КЕФИР И ПРОЧИЕ ФЕРМЕНТИРОВАННЫЕ ИЛИ СКВАШЕННЫЕ МОЛОКО И СЛИВКИ, СГУЩЕННЫЕ ИЛИ НЕСГУЩЕННЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, СО ВКУСО-АРОМАТИЧЕСКИМИ ДОБАВКАМИ ИЛИ БЕЗ НИХ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ ФРУКТОВ, ОРЕХОВ ИЛИ КАКАО"
10.5,0404,Производство молочной продукции,"МОЛОЧНАЯ СЫВОРОТКА, СГУЩЕННАЯ ИЛИ НЕСГУЩЕННАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ; ПРОДУКТЫ ИЗ НАТУРАЛЬНЫХ КОМПОНЕНТОВ МОЛОКА, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
20.5,3824,Производство прочих химических продуктов,"ГОТОВЫЕ СВЯЗУЮЩИЕ ВЕЩЕСТВА ДЛЯ ПРОИЗВОДСТВА ЛИТЕЙНЫХ ФОРМ ИЛИ ЛИТЕЙНЫХ СТЕРЖНЕЙ; ПРОДУКТЫ И ПРЕПАРАТЫ ХИМИЧЕСКИЕ, ХИМИЧЕСКОЙ ИЛИ СМЕЖНЫХ ОТРАСЛЕЙ ПРОМЫШЛЕННОСТИ (ВКЛЮЧАЯ ПРЕПАРАТЫ, СОСТОЯЩИЕ ИЗ СМЕСЕЙ ПРИРОДНЫХ ПРОДУКТОВ), В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
10.1,0204,Переработка и консервирование мяса и мясной пищевой продукции,"БАРАНИНА ИЛИ КОЗЛЯТИНА СВЕЖАЯ, ОХЛАЖДЕННАЯ ИЛИ ЗАМОРОЖЕННАЯ"
10.6,1104,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов","ЗЕРНО ЗЛАКОВ, ОБРАБОТАННОЕ ДРУГИМИ СПОСОБАМИ (НАПРИМЕР, ШЕЛУШЕНОЕ, ПЛЮЩЕНОЕ, ПЕРЕРАБОТАННОЕ В ХЛОПЬЯ, ОБРУШЕННОЕ, В ВИДЕ СЕЧКИ ИЛИ ДРОБЛЕНОЕ), КРОМЕ РИСА ТОВАРНОЙ ПОЗИЦИИ 1006; ЗАРОДЫШИ ЗЕРНА ЗЛАКОВ, ЦЕЛЫЕ, ПЛЮЩЕНЫЕ, В ВИДЕ ХЛОПЬЕВ ИЛИ МОЛОТЫЕ"
10.9,2309,Производство готовых кормов для животных,"ПРОДУКТЫ, ИСПОЛЬЗУЕМЫЕ ДЛЯ КОРМЛЕНИЯ ЖИВОТНЫХ"
10.6,1006,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",РИС
13.2,5407,Производство текстильных тканей,"М2-ТКАНИ ИЗ СИНТЕТИЧЕСКИХ КОМПЛЕКСНЫХ НИТЕЙ, ВКЛЮЧАЯ ТКАНИ, ИЗГОТАВЛИВАЕМЫЕ ИЗ МАТЕРИАЛОВ ТОВАРНОЙ ПОЗИЦИИ 5404"
10.2,1605,"Переработка и консервирование рыбы, ракообразных и моллюсков","ГОТОВЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ РАКООБРАЗНЫЕ, МОЛЛЮСКИ И ПРОЧИЕ ВОДНЫЕ БЕСПОЗВОНОЧНЫЕ"
10.5,0402,Производство молочной продукции,"МОЛОКО И СЛИВКИ, СГУЩЕННЫЕ ИЛИ С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
13.1,5205,Подготовка и прядение текстильных волокон,"ПРЯЖА ХЛОПЧАТОБУМАЖНАЯ (КРОМЕ ШВЕЙНЫХ НИТОК), СОДЕРЖАЩАЯ 85 МАС.% ИЛИ БОЛЕЕ ХЛОПКОВЫХ ВОЛОКОН, НЕ РАСФАСОВАННАЯ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ"
14.1,6203,"Производство одежды, кроме одежды из меха","КОСТЮМЫ, КОМПЛЕКТЫ, ПИДЖАКИ, БЛАЙЗЕРЫ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) МУЖСКИЕ ИЛИ ДЛЯ МАЛЬЧИКОВ"
10.1,0203,Переработка и консервирование мяса и мясной пищевой продукции,"СВИНИНА СВЕЖАЯ, ОХЛАЖДЕННАЯ ИЛИ ЗАМОРОЖЕННАЯ"
14.1,6104,"Производство одежды, кроме одежды из меха","КОСТЮМЫ, КОМПЛЕКТЫ, ЖАКЕТЫ, БЛАЙЗЕРЫ, ПЛАТЬЯ, ЮБКИ, ЮБКИ-БРЮКИ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ, ЖЕНСКИЕ ИЛИ ДЛЯ ДЕВОЧЕК"
10.8,1806,Производство прочих пищевых продуктов,"ШОКОЛАД И ПРОЧИЕ ГОТОВЫЕ ПИЩЕВЫЕ ПРОДУКТЫ, СОДЕРЖАЩИЕ КАКАО"
10.3,0811,Переработка и консервирование фруктов и овощей,"ФРУКТЫ И ОРЕХИ, ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В КИПЯЩЕЙ ВОДЕ ИЛИ НА ПАРУ, ЗАМОРОЖЕННЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
10.7,1905,Производство хлебобулочных и мучных кондитерских изделий,"ХЛЕБ, МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ, ПИРОЖНЫЕ, ПЕЧЕНЬЕ И ПРОЧИЕ ХЛЕБОБУЛОЧНЫЕ И МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ, СОДЕРЖАЩИЕ ИЛИ НЕ СОДЕРЖАЩИЕ КАКАО; ВАФЕЛЬНЫЕ ПЛАСТИНЫ, ПУСТЫЕ КАПСУЛЫ, ПРИГОДНЫЕ ДЛЯ ИСПОЛЬЗОВАНИЯ В ФАРМАЦЕВТИЧЕСКИХ ЦЕЛЯХ, ВАФЕЛЬНЫЕ ОБЛАТКИ ДЛЯ ЗАПЕЧАТЫВАНИЯ, РИСОВАЯ БУМАГА И АНАЛОГИЧНЫЕ ПРОДУКТЫ"
13.1,5206,Подготовка и прядение текстильных волокон,"ПРЯЖА ХЛОПЧАТОБУМАЖНАЯ (КРОМЕ ШВЕЙНЫХ НИТОК), СОДЕРЖАЩАЯ МЕНЕЕ 85 МАС.% ХЛОПКОВЫХ ВОЛОКОН, НЕ РАСФАСОВАННАЯ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ"
13.2,5516,Производство текстильных тканей,М2-ТКАНИ ИЗ ИСКУССТВЕННЫХ ВОЛОКОН
20.1,2905,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","СПИРТЫ АЦИКЛИЧЕСКИЕ И ИХ ГАЛОГЕНИРОВАННЫЕ, СУЛЬФИРОВАННЫЕ, НИТРОВАННЫЕ ИЛИ НИТРОЗИРОВАННЫЕ ПРОИЗВОДНЫЕ"
29.1,8703,Средства автотранспортные,"АВТОМОБИЛИ ЛЕГКОВЫЕ И ПРОЧИЕ МОТОРНЫЕ ТРАНСПОРТНЫЕ СРЕДСТВА, ПРЕДНАЗНАЧЕННЫЕ ГЛАВНЫМ ОБРАЗОМ ДЛЯ ПЕРЕВОЗКИ ЛЮДЕЙ (КРОМЕ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ ТОВАРНОЙ ПОЗИЦИИ 8702), ВКЛЮЧАЯ ГРУЗОПАССАЖИРСКИЕ АВТОМОБИЛИ-ФУРГОНЫ И ГОНОЧНЫЕ АВТОМОБИЛИ"
01.1,0709,Культуры однолетние,"ОВОЩИ ПРОЧИЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
01.2,0802,Культуры многолетние,"ПРОЧИЕ ОРЕХИ, СВЕЖИЕ ИЛИ СУШЕНЫЕ, ОЧИЩЕННЫЕ ОТ СКОРЛУПЫ ИЛИ НЕОЧИЩЕННЫЕ, С КОЖУРОЙ ИЛИ БЕЗ КОЖУРЫ"
13.2,5208,Производство текстильных тканей,"М2-ТКАНИ ХЛОПЧАТОБУМАЖНЫЕ, СОДЕРЖАЩИЕ 85 МАС.% ИЛИ БОЛЕЕ ХЛОПКОВЫХ ВОЛОКОН, С ПОВЕРХНОСТНОЙ ПЛОТНОСТЬЮ НЕ БОЛЕЕ 200 Г/М2"
13.9,6302,Производство прочих текстильных изделий,"БЕЛЬЕ ПОСТЕЛЬНОЕ, СТОЛОВОЕ, ТУАЛЕТНОЕ И КУХОННОЕ"
22.2,3920,Производство изделий из пластмасс,"ПЛИТЫ, ЛИСТЫ, ПЛЕНКА И ПОЛОСЫ ИЛИ ЛЕНТЫ, ПРОЧИЕ, ИЗ ПЛАСТМАСС, НЕПОРИСТЫЕ И НЕАРМИРОВАННЫЕ, НЕСЛОИСТЫЕ, БЕЗ ПОДЛОЖКИ И НЕ СОЕДИНЕННЫЕ АНАЛОГИЧНЫМ СПОСОБОМ С ДРУГИМИ МАТЕРИАЛАМИ"
13.1,5509,Подготовка и прядение текстильных волокон,"ПРЯЖА ИЗ СИНТЕТИЧЕСКИХ ВОЛОКОН (КРОМЕ ШВЕЙНЫХ НИТОК), НЕ РАСФАСОВАННАЯ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ"
16.1,4407,Распиловка и строгание древесины,"ЛЕСОМАТЕРИАЛЫ, ПОЛУЧЕННЫЕ РАСПИЛОВКОЙ ИЛИ РАСЩЕПЛЕНИЕМ ВДОЛЬ, СТРОГАНИЕМ ИЛИ ЛУЩЕНИЕМ, ОБРАБОТАННЫЕ ИЛИ НЕ ОБРАБОТАННЫЕ СТРОГАНИЕМ, ШЛИФОВАНИЕМ, ИМЕЮЩИЕ ИЛИ НЕ ИМЕЮЩИЕ ТОРЦЕВЫЕ СОЕДИНЕНИЯ, ТОЛЩИНОЙ БОЛЕЕ 6 ММ"
20.1,2921,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",СОЕДИНЕНИЯ С АМИННОЙ ФУНКЦИОНАЛЬНОЙ ГРУППОЙ
20.6,5402,Производство химических волокон,"НИТИ КОМПЛЕКСНЫЕ СИНТЕТИЧЕСКИЕ (КРОМЕ ШВЕЙНЫХ НИТОК), НЕ РАСФАСОВАННЫЕ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ, ВКЛЮЧАЯ СИНТЕТИЧЕСКИЕ МОНОНИТИ ЛИНЕЙНОЙ ПЛОТНОСТИ МЕНЕЕ 67 ДТЕКС"
21.1,2939,Производство фармацевтических субстанций,"АЛКАЛОИДЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ, ПРИРОДНЫЕ ИЛИ СИНТЕЗИРОВАННЫЕ, ИХ СОЛИ, ПРОСТЫЕ И СЛОЖНЫЕ ЭФИРЫ И ПРОЧИЕ ПРОИЗВОДНЫЕ"
31.01,9401,Мебель для офисов и предприятий торговли,"МЕБЕЛЬ ДЛЯ СИДЕНИЯ (КРОМЕ УКАЗАННОЙ В ТОВАРНОЙ ПОЗИЦИИ 9402), ТРАНСФОРМИРУЕМАЯ ИЛИ НЕ ТРАНСФОРМИРУЕМАЯ В КРОВАТИ, И ЕЕ ЧАСТИ"
01.1,1209,Культуры однолетние,"СЕМЕНА, ПЛОДЫ И СПОРЫ ДЛЯ ПОСЕВА"
02.2,4403,Лесоматериалы необработанные,"М3-ЛЕСОМАТЕРИАЛЫ НЕОБРАБОТАННЫЕ, С УДАЛЕННОЙ ИЛИ НЕУДАЛЕННОЙ КОРОЙ ИЛИ ЗАБОЛОНЬЮ ИЛИ ГРУБО ОКАНТОВАННЫЕ ИЛИ НЕОКАНТОВАННЫЕ"
10.1,0206,Переработка и консервирование мяса и мясной пищевой продукции,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
31.09,9403,Мебель прочая,МЕБЕЛЬ ПРОЧАЯ И ЕЕ ЧАСТИ
32.3,9506,Товары спортивные,"ИНВЕНТАРЬ И ОБОРУДОВАНИЕ ДЛЯ ЗАНЯТИЙ ОБЩЕЙ ФИЗКУЛЬТУРОЙ, ГИМНАСТИКОЙ, ЛЕГКОЙ АТЛЕТИКОЙ, ПРОЧИМИ ВИДАМИ СПОРТА (ВКЛЮЧАЯ НАСТОЛЬНЫЙ ТЕННИС) ИЛИ ДЛЯ ИГР НА ОТКРЫТОМ ВОЗДУХЕ, В ДРУГОМ МЕСТЕ ДАННОЙ ГРУППЫ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ; БАССЕЙНЫ ПЛАВАТЕЛЬНЫЕ И БАССЕЙНЫ ДЛЯ ДЕТЕЙ"
03.1,0307,"Рыба и прочая продукция рыболовства; услуги, связанные с рыболовством","МОЛЛЮСКИ, В РАКОВИНЕ ИЛИ БЕЗ РАКОВИНЫ, ЖИВЫЕ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; МОЛЛЮСКИ КОПЧЕНЫЕ, В РАКОВИНЕ ИЛИ БЕЗ РАКОВИНЫ, НЕ ПОДВЕРГНУТЫЕ ИЛИ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ МОЛЛЮСКОВ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
10.3,0710,Переработка и консервирование фруктов и овощей,ОВОЩИ (СЫРЫЕ ИЛИ СВАРЕННЫЕ В ВОДЕ ИЛИ НА ПАРУ) ЗАМОРОЖЕННЫЕ
10.3,2005,Переработка и консервирование фруктов и овощей,"ОВОЩИ ПРОЧИЕ, ПРИГОТОВЛЕННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ, БЕЗ ДОБАВЛЕНИЯ УКСУСА ИЛИ УКСУСНОЙ КИСЛОТЫ, НЕЗАМОРОЖЕННЫЕ, КРОМЕ ПРОДУКТОВ ТОВАРНОЙ ПОЗИЦИИ 2006"
10.4,1513,Производство растительных и животных масел и жиров,"МАСЛО КОКОСОВОЕ (КОПРОВОЕ), ПАЛЬМОЯДРОВОЕ ИЛИ МАСЛО БАБАССУ И ИХ ФРАКЦИИ, НЕРАФИНИРОВАННЫЕ ИЛИ РАФИНИРОВАННЫЕ, НО БЕЗ ИЗМЕНЕНИЯ ХИМИЧЕСКОГО СОСТАВА"
13.2,5209,Производство текстильных тканей,"М2-ТКАНИ ХЛОПЧАТОБУМАЖНЫЕ, СОДЕРЖАЩИЕ 85 МАС.% ИЛИ БОЛЕЕ ХЛОПКОВЫХ ВОЛОКОН, С ПОВЕРХНОСТНОЙ ПЛОТНОСТЬЮ БОЛЕЕ 200 Г/М2"
20.1,2914,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","КЕТОНЫ И ХИНОНЫ, СОДЕРЖАЩИЕ ИЛИ НЕ СОДЕРЖАЩИЕ ДРУГУЮ КИСЛОРОДСОДЕРЖАЩУЮ ФУНКЦИОНАЛЬНУЮ ГРУППУ, И ИХ ГАЛОГЕНИРОВАННЫЕ, СУЛЬФИРОВАННЫЕ, НИТРОВАННЫЕ ИЛИ НИТРОЗИРОВАННЫЕ ПРОИЗВОДНЫЕ"
20.1,2915,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","КИСЛОТЫ АЦИКЛИЧЕСКИЕ МОНОКАРБОНОВЫЕ НАСЫЩЕННЫЕ И ИХ АНГИДРИДЫ, ГАЛОГЕНАНГИДРИДЫ, ПЕРОКСИДЫ И ПЕРОКСИКИСЛОТЫ; ИХ ГАЛОГЕНИРОВАННЫЕ, СУЛЬФИРОВАННЫЕ, НИТРОВАННЫЕ ИЛИ НИТРОЗИРОВАННЫЕ ПРОИЗВОДНЫЕ"
20.1,2922,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах","АМИНОСОЕДИНЕНИЯ, ВКЛЮЧАЮЩИЕ КИСЛОРОДСОДЕРЖАЩУЮ ФУНКЦИОНАЛЬНУЮ ГРУППУ"
20.2,3808,Производство пестицидов и прочих агрохимических продуктов,"ИНСЕКТИЦИДЫ, РОДЕНТИЦИДЫ, ФУНГИЦИДЫ, ГЕРБИЦИДЫ, ПРОТИВОВСХОДОВЫЕ СРЕДСТВА И РЕГУЛЯТОРЫ РОСТА РАСТЕНИЙ, СРЕДСТВА ДЕЗИНФИЦИРУЮЩИЕ И АНАЛОГИЧНЫЕ ИМ, РАСФАСОВАННЫЕ В ФОРМЫ ИЛИ УПАКОВКИ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ ИЛИ ПРЕДСТАВЛЕННЫЕ В ВИДЕ ГОТОВЫХ ПРЕПАРАТОВ ИЛИ ИЗДЕЛИЙ (НАПРИМЕР, ЛЕНТЫ, ОБРАБОТАННЫЕ СЕРОЙ, ФИТИЛИ И СВЕЧИ, И БУМАГА ЛИПКАЯ ОТ МУХ)"
